outer_fold_patient_id,evaluation_mode,normalization,classifier,feature_name,initial_frozen_order,ranking_position,model_input_position,feature_importance,survived_variance_filter,survived_top_k,survived_correlation_pruning,removed_at_stage
491,common_rows,calibration_median,extra_trees,slope_sign_change_count,12,17,14.0,0.02748849763437662,True,True,True,retained
491,common_rows,calibration_median,extra_trees,approximate_entropy,13,6,6.0,0.039987040719407035,True,True,True,retained
491,common_rows,calibration_median,extra_trees,permutation_entropy,14,18,,0.02743326379717678,True,True,False,correlation_pruning
491,common_rows,calibration_median,extra_trees,fuzzy_entropy,15,2,2.0,0.06619471786419817,True,True,True,retained
491,common_rows,calibration_median,extra_trees,distribution_entropy,16,33,,0.012658707462586339,True,False,False,top_k
491,common_rows,calibration_median,extra_trees,svd_entropy,17,3,3.0,0.050853779997963075,True,True,True,retained
491,common_rows,calibration_median,extra_trees,lempel_ziv_complexity,18,4,4.0,0.045734719873180056,True,True,True,retained
491,common_rows,calibration_median,extra_trees,hjorth_mobility,19,11,,0.03271360711096643,True,True,False,correlation_pruning
491,common_rows,calibration_median,extra_trees,hjorth_complexity,20,24,,0.021717157171060618,True,False,False,top_k
491,common_rows,calibration_median,extra_trees,katz_fractal_dimension,21,32,,0.013132287733026056,True,False,False,top_k
